mk,sq,es,en
Рејхан Џелеши,Rejhan Xheleshi,Rejhan Xheleshi,Rejhan Xheleshi
Рејхан Шахсивари,Rejhan Shahsivari,Rejhan Shahsivari,Rejhan Shahsivari
Реџаил Азири,Rexhail Aziri,Rexhail Aziri,Rexhail Aziri
Реџаил Бајрами,Rexhail Bajrami,Rexhail Bajrami,Rexhail Bajrami
Реџеп Љума,Rexhep Luma,Rexhep Luma,Rexhep Luma
Реџеп Адем,Rexhep Adem,Rexhep Adem,Rexhep Adem
Реџеп Алиу,Rexhep Aliu,Rexhep Aliu,Rexhep Aliu
Реџеп Дерала,Rexhep Derala,Rexhep Derala,Rexhep Derala
Реџеп Мурати,Rexhep Murati,Rexhep Murati,Rexhep Murati
Реџеп Пашо,Rexhep Pasho,Rexhep Pasho,Rexhep Pasho
Реџеп Реџепи,Rexhep Rexhepi,Rexhep Rexhepi,Rexhep Rexhepi
Реџеп Халими,Rexhep Halimi,Rexhep Halimi,Rexhep Halimi
Ридван Љамалари,Ridvan Llamalari,Ridvan Llamalari,Ridvan Llamalari
Ридван Љезами,Ridvan Lezami,Ridvan Lezami,Ridvan Lezami
Ридван Исмаиљи,Ridvan Ismaili,Ridvan Ismaili,Ridvan Ismaili
Ридван Куртиши,Ridvan Kurtishi,Ridvan Kurtishi,Ridvan Kurtishi
Риланд Ќаили,Riland Qaili,Riland Qaili,Riland Qaili
Рилинд Речи,Rilind Reçi,Rilind Reçi,Rilind Reçi
Рилинд Черими,Rilind Çerimi,Rilind Çerimi,Rilind Çerimi
Ринис Аљити,Rinis Aliti,Rinis Aliti,Rinis Aliti
Ринор Ќазими,Rinor Qazimi,Rinor Qazimi,Rinor Qazimi
Ринор Џафери,Rinor Xhaferi,Rinor Xhaferi,Rinor Xhaferi
Ринор Гаши,Rinor Gashi,Rinor Gashi,Rinor Gashi
Ринор Палоши,Rinor Paloshi,Rinor Paloshi,Rinor Paloshi
Ринор Реџепи,Rinor Rexhepi,Rinor Rexhepi,Rinor Rexhepi
Ринор Шерифи,Rinor Sherifi,Rinor Sherifi,Rinor Sherifi
Ринор Шора,Rinor Shora,Rinor Shora,Rinor Shora
Ристо Миленковиќ,Risto Milenković,Risto Milenković,Risto Milenković
Рихан Зеќири,Rihan Zeqiri,Rihan Zeqiri,Rihan Zeqiri
Ричард Нѕенгуе Моубети Фахд,Richard Nzengue Moubeti Fahd,Richard Nzengue Moubeti Fahd,Richard Nzengue Moubeti Fahd
Ријад Ќерими,Rijad Qerimi,Rijad Qerimi,Rijad Qerimi
Ријад Беровиќ,Rijad Berović,Rijad Berović,Rijad Berović
Ријад Суља,Rijad Sula,Rijad Sula,Rijad Sula
Ријад Шабани,Rijad Shabani,Rijad Shabani,Rijad Shabani
Роналдо Вебстер,Ronaldo Webster,Ronaldo Webster,Ronaldo Webster
Рони Реџепи,Roni Rexhepi,Roni Rexhepi,Roni Rexhepi
Роџерс Мато,Rogers Mato,Rogers Mato,Rogers Mato
Ррон Красниќи,Rron Krasniqi,Rron Krasniqi,Rron Krasniqi
Ружди Ајдари,Ruzhdi Ajdari,Ruzhdi Ajdari,Ruzhdi Ajdari
Рустем Бериша,Rustem Berisha,Rustem Berisha,Rustem Berisha
Руфат Чалафи,Rufat Çalafi,Rufat Çalafi,Rufat Çalafi
Рушан Саљии,Rushan Salii,Rushan Salii,Rushan Salii
Рушту Јонус,Rushtu Jonus,Rushtu Jonus,Rushtu Jonus
Сабир Беља,Sabir Bela,Sabir Bela,Sabir Bela
Сабит Куртиши,Sabit Kurtishi,Sabit Kurtishi,Sabit Kurtishi
Сабри Ибиши,Sabri Ibishi,Sabri Ibishi,Sabri Ibishi
Садик Шаини Арас,Sadik Shaini Aras,Sadik Shaini Aras,Sadik Shaini Aras
Сазан Љатифи,Sazan Latifi,Sazan Latifi,Sazan Latifi
Сали Љиварека,Sali Livareka,Sali Livareka,Sali Livareka
Самед Лучи,Samed Luçi,Samed Luçi,Samed Luçi
Самет Реџепи,Samet Rexhepi,Samet Rexhepi,Samet Rexhepi
Сами Џемаили,Sami Xhemaili,Sami Xhemaili,Sami Xhemaili
Сами Дурмиши,Sami Durmishi,Sami Durmishi,Sami Durmishi
Сами Сељими,Sami Selimi,Sami Selimi,Sami Selimi
Самил Ахматовиќ,Samil Ahmatović,Samil Ahmatović,Samil Ahmatović
Самир Џељадини,Samir Xheladini,Samir Xheladini,Samir Xheladini
Самир Каришиќ,Samir Karišić,Samir Karišić,Samir Karišić
Самир Чеховиќ,Samir Čehović,Samir Čehović,Samir Čehović
Самир Шаини,Samir Shaini,Samir Shaini,Samir Shaini
Санер Џемаили,Saner Xhemaili,Saner Xhemaili,Saner Xhemaili
Сафет Зеќири,Safet Zeqiri,Safet Zeqiri,Safet Zeqiri
Саша Крстиќ,Saša Krstić,Saša Krstić,Saša Krstić
Саша Милкиќ,Saša Milkić,Saša Milkić,Saša Milkić
Саша Михаиловиќ,Saša Mihailović,Saša Mihailović,Saša Mihailović
Сашо Денчиќ,Sašo Denčić,Sašo Denčić,Sašo Denčić
Саљадин Мустафи,Saladin Mustafi,Saladin Mustafi,Saladin Mustafi
Саљи Салии,Sali Salii,Sali Salii,Sali Salii
Саљи Саќипи,Sali Saqipi,Sali Saqipi,Sali Saqipi
Саљим Садики,Salim Sadiki,Salim Sadiki,Salim Sadiki
Седат Иљази,Sedat Iljazi,Sedat Iljazi,Sedat Iljazi
Седат Хасиќ,Sedat Hasić,Sedat Hasić,Sedat Hasić
Сеид Саљији,Seid Saliji,Seid Saliji,Seid Saliji
Селман Красниќи,Selman Krasniqi,Selman Krasniqi,Selman Krasniqi
Семир Џемаили,Semir Xhemaili,Semir Xhemaili,Semir Xhemaili
Семир Бехџети,Semir Behxheti,Semir Behxheti,Semir Behxheti
Семир Квазовиќ,Semir Kvazović,Semir Kvazović,Semir Kvazović
Семир Муџахиди,Semir Muxhahidi,Semir Muxhahidi,Semir Muxhahidi
Семир Прентиќ,Semir Prentić,Semir Prentić,Semir Prentić
Семир Шабани,Semir Shabani,Semir Shabani,Semir Shabani
Сенад Буќи,Senad Buqi,Senad Buqi,Senad Buqi
Сергеј Јовановиќ,Sergej Jovanović,Sergej Jovanović,Sergej Jovanović
Серкан Исљами,Serkan Islami,Serkan Islami,Serkan Islami
Серхан Саљија,Serhan Salija,Serhan Salija,Serhan Salija
Сељмани Сеид,Selmani Seid,Selmani Seid,Selmani Seid
Сиарт Ќамили,Siart Qamili,Siart Qamili,Siart Qamili
Славче Трајковиќ,Slavče Trajković,Slavče Trajković,Slavče Trajković
Слободан Стојсавлевиќ,Slobodan Stojsavlević,Slobodan Stojsavlević,Slobodan Stojsavlević
Соко Тутиќ,Soko Tutić,Soko Tutić,Soko Tutić
Сокољ Ахмеди,Sokol Ahmedi,Sokol Ahmedi,Sokol Ahmedi
Спасе Ќириќ,Spase Ćirić,Spase Ćirić,Spase Ćirić
Станко Митровиќ,Stanko Mitrović,Stanko Mitrović,Stanko Mitrović
Стеван Николиќ,Stevan Nikolić,Stevan Nikolić,Stevan Nikolić
Стевица Ристиќ,Stevica Ristić,Stevica Ristić,Stevica Ristić
Стефан Ѓорѓевиќ,Stefan Gjorgjević,Stefan Gjorgjević,Stefan Gjorgjević
Стефан Јовановиќ,Stefan Jovanović,Stefan Jovanović,Stefan Jovanović
Стефан Димитриевиќ,Stefan Dimitrijević,Stefan Dimitrijević,Stefan Dimitrijević
Стефан Лазаревиќ,Stefan Lazarević,Stefan Lazarević,Stefan Lazarević
Стефан Павловиќ,Stefan Pavlović,Stefan Pavlović,Stefan Pavlović
Стефан Симоновиќ,Stefan Simonović,Stefan Simonović,Stefan Simonović
Стефан Цветковиќ,Stefan Cvetković,Stefan Cvetković,Stefan Cvetković
Стефан Шикалоси,Stefan Shikalosi,Stefan Shikalosi,Stefan Shikalosi
Суад Зендељи,Suad Zendeli,Suad Zendeli,Suad Zendeli
Судејс Чајани,Sudejs Çajani,Sudejs Çajani,Sudejs Çajani
Сулејман Зеќири,Sulejman Zeqiri,Sulejman Zeqiri,Sulejman Zeqiri
Сулејман Ибиши,Sulejman Ibishi,Sulejman Ibishi,Sulejman Ibishi
Сулејман Суљејмани,Sulejman Sulejmani,Sulejman Sulejmani,Sulejman Sulejmani
Сулејман Шабани,Sulejman Shabani,Sulejman Shabani,Sulejman Shabani
Сулимани Дриљон,Sulimani Drilon,Sulimani Drilon,Sulimani Drilon
Султан Беќир Алија,Sultan Beqir Alija,Sultan Beqir Alija,Sultan Beqir Alija
Сунај Кутриши,Sunaj Kutrishi,Sunaj Kutrishi,Sunaj Kutrishi
Суфијан Џелил,Sufijan Xhelil,Sufijan Xhelil,Sufijan Xhelil
Суфјан Шерифи,Sufjan Sherifi,Sufjan Sherifi,Sufjan Sherifi
Сухејб Виља,Suhejb Vila,Suhejb Vila,Suhejb Vila
Сухејб Рушити,Suhejb Rushiti,Suhejb Rushiti,Suhejb Rushiti
Сухејљ Исмајли,Suhejl Ismajli,Suhejl Ismajli,Suhejl Ismajli
Сухејљ Мухарем,Suhejl Muharem,Suhejl Muharem,Suhejl Muharem
Тамара Цветановиќ,Tamara Cvetanović,Tamara Cvetanović,Tamara Cvetanović
Тарик Дечковиќ,Tarik Dečković,Tarik Dečković,Tarik Dečković
Тарик Ризвановиќ,Tarik Rizvanović,Tarik Rizvanović,Tarik Rizvanović
Тарик Хаџовиќ,Tarik Hadžović,Tarik Hadžović,Tarik Hadžović
Тарик Цамиќ,Tarik Camić,Tarik Camić,Tarik Camić
Тауљант Љама,Taulant Lama,Taulant Lama,Taulant Lama
Тауљант Шабани,Taulant Shabani,Taulant Shabani,Taulant Shabani
Тачи Гент,Thaçi Gent,Thaçi Gent,Thaçi Gent
Таџедин Касами,Taxhedin Kasami,Taxhedin Kasami,Taxhedin Kasami
Теодор Чуриќ,Teodor Čurić,Teodor Čurić,Teodor Čurić
Тимур Шабан,Timur Shaban,Timur Shaban,Timur Shaban
Тино Спасиќ,Tino Spasić,Tino Spasić,Tino Spasić
Тиррон Љута,Tirron Luta,Tirron Luta,Tirron Luta
Тони Раденковиќ,Toni Radenković,Toni Radenković,Toni Radenković
Тони Трајковиќ,Toni Trajković,Toni Trajković,Toni Trajković
Тоше Илиќ,Toše Ilić,Toše Ilić,Toše Ilić
Тураби Беќири,Turabi Beqiri,Turabi Beqiri,Turabi Beqiri
Турхан Аруч,Turhan Aruç,Turhan Aruç,Turhan Aruç
Турхан Кумбараџи,Turhan Kumbaracı,Turhan Kumbaracı,Turhan Kumbaracı
Турхан Куртиши,Turhan Kurtishi,Turhan Kurtishi,Turhan Kurtishi
Туш Зефиќ,Tuš Zefić,Tuš Zefić,Tuš Zefić
Ќазим Љимани,Qazim Limani,Qazim Limani,Qazim Limani
Ќазим Зимбери,Qazim Zimberi,Qazim Zimberi,Qazim Zimberi
Ќазим Реџепи,Qazim Rexhepi,Qazim Rexhepi,Qazim Rexhepi
Ќамил Фејзулаи,Qamil Fejzulai,Qamil Fejzulai,Qamil Fejzulai
Ќани Џемаили,Qani Xhemaili,Qani Xhemaili,Qani Xhemaili
Ќани Мучи,Qani Muçi,Qani Muçi,Qani Muçi
Ќани Тахири,Qani Tahiri,Qani Tahiri,Qani Tahiri
Ќемал Несими,Qemal Nesimi,Qemal Nesimi,Qemal Nesimi
Ќемал Синани,Qemal Sinani,Qemal Sinani,Qemal Sinani
Ќемаљ Емини,Qemal Emini,Qemal Emini,Qemal Emini
Ќенан Јонузи,Qenan Jonuzi,Qenan Jonuzi,Qenan Jonuzi
Ќендрим Абази,Qendrim Abazi,Qendrim Abazi,Qendrim Abazi
Ќендрим Ајдини,Qendrim Ajdini,Qendrim Ajdini,Qendrim Ajdini
Ќендрим Аљиљи,Qendrim Alili,Qendrim Alili,Qendrim Alili
Ќендрим Бекири,Qendrim Bekiri,Qendrim Bekiri,Qendrim Bekiri
Ќендрим Фејзули,Qendrim Fejzuli,Qendrim Fejzuli,Qendrim Fejzuli
Ќерем Жупани,Qerem Zhupani,Qerem Zhupani,Qerem Zhupani
Ќерем Хамзаи,Qerem Hamzai,Qerem Hamzai,Qerem Hamzai
Ќерим Бекири,Qerim Bekiri,Qerim Bekiri,Qerim Bekiri
Убејд Бериша,Ubejd Berisha,Ubejd Berisha,Ubejd Berisha
Узејр Љатифи,Uzejr Latifi,Uzejr Latifi,Uzejr Latifi
Улли Челику,Ulli Çeliku,Ulli Çeliku,Ulli Çeliku
Умит Шахин,Umit Şahin,Umit Şahin,Umit Şahin
Унејс Реџепи,Unejs Rexhepi,Unejs Rexhepi,Unejs Rexhepi
Уран Речица,Uran Reçica,Uran Reçica,Uran Reçica
Ураник Уштеленца,Uranik Ushtelenca,Uranik Ushtelenca,Uranik Ushtelenca
Усеин Елезовиќ,Usein Elezović,Usein Elezović,Usein Elezović
Фабиан Коџаџику,Fabian Koxhaxhiku,Fabian Koxhaxhiku,Fabian Koxhaxhiku
Фабрис Ондоа,Fabrice Ondoa,Fabrice Ondoa,Fabrice Ondoa
Фадиљ Рустеми,Fadil Rustemi,Fadil Rustemi,Fadil Rustemi
Фазљи Исљами,Fazli Islami,Fazli Islami,Fazli Islami
Фарих Буши,Farih Bushi,Farih Bushi,Farih Bushi
Фатлинд Шемшедини,Fatlind Shemshedini,Fatlind Shemshedini,Fatlind Shemshedini
Фатон Бељуљи,Faton Beluli,Faton Beluli,Faton Beluli
Фатон Вељии,Faton Velii,Faton Velii,Faton Velii
Фатон Даљипи,Faton Dalipi,Faton Dalipi,Faton Dalipi
Фатон Реџепи,Faton Rexhepi,Faton Rexhepi,Faton Rexhepi
Фатос Џелили,Fatos Xhelili,Fatos Xhelili,Fatos Xhelili
Фатјон Леши,Fatjon Leshi,Fatjon Leshi,Fatjon Leshi
Фатљум Куртиши,Fatlum Kurtishi,Fatlum Kurtishi,Fatlum Kurtishi
Фатљум Максути,Fatlum Maksuti,Fatlum Maksuti,Fatlum Maksuti
Фатљум Мифтари,Fatlum Miftari,Fatlum Miftari,Fatlum Miftari
Фатљум Шакири,Fatlum Shaqiri,Fatlum Shaqiri,Fatlum Shaqiri
Фахд Нѕенге,Fahd Ndzengue,Fahd Ndzengue,Fahd Ndzengue
Феми Бафќари,Femi Bafqari,Femi Bafqari,Femi Bafqari
Фемки Беќири,Femki Beqiri,Femki Beqiri,Femki Beqiri
Ферат Реџепи,Ferat Rexhepi,Ferat Rexhepi,Ferat Rexhepi
Ферхан Куртиши,Ferhan Kurtishi,Ferhan Kurtishi,Ferhan Kurtishi
Ферхан Нуиши,Ferhan Nuishi,Ferhan Nuishi,Ferhan Nuishi
Ферхан Реџепи,Ferhan Rexhepi,Ferhan Rexhepi,Ferhan Rexhepi
Фестим Џафери,Festim Xhaferi,Festim Xhaferi,Festim Xhaferi
Фестим Вељиу,Festim Veliu,Festim Veliu,Festim Veliu
Фејзи Сељами,Fejzi Selami,Fejzi Selami,Fejzi Selami
Фејзула Шабани,Fejzula Shabani,Fejzula Shabani,Fejzula Shabani
Фејми Ќазими,Fejmi Qazimi,Fejmi Qazimi,Fejmi Qazimi
Фејми Биљали,Fejmi Bilali,Fejmi Bilali,Fejmi Bilali
Фидан Шерифи,Fidan Sherifi,Fidan Sherifi,Fidan Sherifi
Фикрет Љиварека,Fikret Livareka,Fikret Livareka,Fikret Livareka
Филип Јовановиќ,Filip Jovanović,Filip Jovanović,Filip Jovanović
Филип Аврамовиќ,Filip Avramović,Filip Avramović,Filip Avramović
Филип Алексиќ,Filip Aleksić,Filip Aleksić,Filip Aleksić
Филип Бошначки,Filip Bošnački,Filip Bošnački,Filip Bošnački
Филип Велиновиќ,Filip Velinović,Filip Velinović,Filip Velinović
Филип Илиќ,Filip Ilić,Filip Ilić,Filip Ilić
Филип Петровиќ,Filip Petrović,Filip Petrović,Filip Petrović
Филип Рековиќ,Filip Reković,Filip Reković,Filip Reković
Филип Симоновиќ,Filip Simonović,Filip Simonović,Filip Simonović
Филип Ступиќ,Filip Stupić,Filip Stupić,Filip Stupić
Филип Цветковиќ,Filip Cvetković,Filip Cvetković,Filip Cvetković
Фисник Љамалари,Fisnik Llamalari,Fisnik Llamalari,Fisnik Llamalari
Фисник Агуши,Fisnik Agushi,Fisnik Agushi,Fisnik Agushi
Фисник Шлаку,Fisnik Shlaku,Fisnik Shlaku,Fisnik Shlaku
Фитим Куртиши,Fitim Kurtishi,Fitim Kurtishi,Fitim Kurtishi
Фламур Џелили,Flamur Xhelili,Flamur Xhelili,Flamur Xhelili
Фламур Миџаити,Flamur Mixhaiti,Flamur Mixhaiti,Flamur Mixhaiti
Флорент Љимани,Florent Limani,Florent Limani,Florent Limani
Флорент Реџепи,Florent Rexhepi,Florent Rexhepi,Florent Rexhepi
Флориан Рочи,Florian Roçi,Florian Roçi,Florian Roçi
Флоријан Џемаили,Florijan Xhemaili,Florijan Xhemaili,Florijan Xhemaili
Флоријан Реџепи,Florijan Rexhepi,Florijan Rexhepi,Florijan Rexhepi
Фуркан Ќани,Furkan Qani,Furkan Qani,Furkan Qani
Фуркан Бектеши,Furkan Bekteshi,Furkan Bekteshi,Furkan Bekteshi
Фуркан Биљали,Furkan Bilali,Furkan Bilali,Furkan Bilali
Фуркан Исмаиљи,Furkan Ismaili,Furkan Ismaili,Furkan Ismaili
Фуркан Куртиши,Furkan Kurtishi,Furkan Kurtishi,Furkan Kurtishi
Фуркан Шабани,Furkan Shabani,Furkan Shabani,Furkan Shabani
Фљамур Исмаиљи,Flamur Ismaili,Flamur Ismaili,Flamur Ismaili
Фљамур Мемиши,Flamur Memishi,Flamur Memishi,Flamur Memishi
Фљамур Рустеми,Flamur Rustemi,Flamur Rustemi,Flamur Rustemi
Фљоренд Муслији,Florend Musliji,Florend Musliji,Florend Musliji
Фљорент Ќазими,Florent Qazimi,Florent Qazimi,Florent Qazimi
Фљори Фетаху,Flori Fetahu,Flori Fetahu,Flori Fetahu
Фљориан Мемети,Florian Memeti,Florian Memeti,Florian Memeti
Фљориан Шерифи,Florian Sherifi,Florian Sherifi,Florian Sherifi
Фљорим Асани,Florim Asani,Florim Asani,Florim Asani
Хабиб Клобучишта,Habib Klobuçishta,Habib Klobuçishta,Habib Klobuçishta
Хабиб Рушани,Habib Rushani,Habib Rushani,Habib Rushani
Хабиљ Љиворека,Habil Livoreka,Habil Livoreka,Habil Livoreka
Хади Весељи,Hadi Veseli,Hadi Veseli,Hadi Veseli
Хади Иљази,Hadi Iljazi,Hadi Iljazi,Hadi Iljazi
Хадиз Рабдишта,Hadiz Rabdishta,Hadiz Rabdishta,Hadiz Rabdishta
Хазби Меџити,Hazbi Mexhiti,Hazbi Mexhiti,Hazbi Mexhiti
Хакан Џафери,Hakan Xhaferi,Hakan Xhaferi,Hakan Xhaferi
Хакан Даљипи,Hakan Dalipi,Hakan Dalipi,Hakan Dalipi
Хакан Личина,Hakan Ličina,Hakan Ličina,Hakan Ličina
Халил Калач,Halil Kalač,Halil Kalač,Halil Kalač
Халук Зеќири,Haluk Zeqiri,Haluk Zeqiri,Haluk Zeqiri
Хамза Ќаниу,Hamza Qaniu,Hamza Qaniu,Hamza Qaniu
Хамза Џеваири,Hamza Xhevairi,Hamza Xhevairi,Hamza Xhevairi
Хамза Ватиќ,Hamza Vatić,Hamza Vatić,Hamza Vatić
Хамза Меџити,Hamza Mexhiti,Hamza Mexhiti,Hamza Mexhiti
Хамза Реџепи,Hamza Rexhepi,Hamza Rexhepi,Hamza Rexhepi
Хамид Неџипи,Hamid Nexhipi,Hamid Nexhipi,Hamid Nexhipi
Хамим Калоши,Hamim Kaloshi,Hamim Kaloshi,Hamim Kaloshi
Харбин Џони,Harbin Xhoni,Harbin Xhoni,Harbin Xhoni
Харбин Туша,Harbin Tusha,Harbin Tusha,Harbin Tusha
Харбин Шабани,Harbin Shabani,Harbin Shabani,Harbin Shabani
Хари Папиќ,Hari Papić,Hari Papić,Hari Papić
Харис Исмаиљи,Haris Ismaili,Haris Ismaili,Haris Ismaili
Харис Исљами,Haris Islami,Haris Islami,Haris Islami
Харис Калач,Haris Kalač,Haris Kalač,Haris Kalač
Харис Мушовиќ,Haris Mušović,Haris Mušović,Haris Mušović
Харун Беќир,Harun Beqir,Harun Beqir,Harun Beqir
Харун Гегиќ,Harun Gegić,Harun Gegić,Harun Gegić
Хасан Шабани,Hasan Shabani,Hasan Shabani,Hasan Shabani
Хасип Љоки,Hasip Loki,Hasip Loki,Hasip Loki
Хашим Шефити,Hashim Shefiti,Hashim Shefiti,Hashim Shefiti
Хајриз Скендеровиќ,Hajriz Skenderović,Hajriz Skenderović,Hajriz Skenderović
Хајро Бабачиќ,Hajro Babačić,Hajro Babačić,Hajro Babačić
Хаљил Јусуфи,Halil Jusufi,Halil Jusufi,Halil Jusufi
Хаљиљ Бајрами,Halil Bajrami,Halil Bajrami,Halil Bajrami
Хаќиф Исаки,Haqif Isaki,Haqif Isaki,Haqif Isaki
Хаџи Драме,Haxhi Drame,Haxhi Drame,Haxhi Drame
Хекуран Џеладини,Hekuran Xheladini,Hekuran Xheladini,Hekuran Xheladini
Херолинд Реџепи,Herolind Rexhepi,Herolind Rexhepi,Herolind Rexhepi
Херољинд Зимбери,Herolind Zimberi,Herolind Zimberi,Herolind Zimberi
Хисни Шаќири,Hisni Shaqiri,Hisni Shaqiri,Hisni Shaqiri
Хијнор Куртиши,Hijnor Kurtishi,Hijnor Kurtishi,Hijnor Kurtishi
Христијан Љубочевиќ,Hristijan Ljubočević,Hristijan Ljubočević,Hristijan Ljubočević
Христијан Карадачки,Hristijan Karadački,Hristijan Karadački,Hristijan Karadački
Христијан Стаменковиќ,Hristijan Stamenković,Hristijan Stamenković,Hristijan Stamenković
Христијан Филиповиќ,Hristijan Filipović,Hristijan Filipović,Hristijan Filipović
Хуајм Жупани,Huajm Zhupani,Huajm Zhupani,Huajm Zhupani
Хузејфе Дураковиќ,Huzejfe Duraković,Huzejfe Duraković,Huzejfe Duraković
Хузри Џемаили,Huzri Xhemaili,Huzri Xhemaili,Huzri Xhemaili
Чарлс Аколатсе,Charles Acolatse,Charles Acolatse,Charles Acolatse
Члерим Аслани,Çlerim Aslani,Çlerim Aslani,Çlerim Aslani
Члирим Алими,Çlirim Alimi,Çlirim Alimi,Çlirim Alimi
Члирим Нухии,Çlirim Nuhii,Çlirim Nuhii,Çlirim Nuhii
Шабан Ќерими,Shaban Qerimi,Shaban Qerimi,Shaban Qerimi
Џабир Азири,Xhabir Aziri,Xhabir Aziri,Xhabir Aziri
Џан Беровиќ,Džan Berović,Džan Berović,Džan Berović
Џан Имери,Xhan Imeri,Xhan Imeri,Xhan Imeri
Џан Тотре,Xhan Totre,Xhan Totre,Xhan Totre
Џан Шабан Расим,Can Şaban Rasim,Can Şaban Rasim,Can Şaban Rasim
Џафер Несими,Xhafer Nesimi,Xhafer Nesimi,Xhafer Nesimi
Џахит Хусејни,Xhahit Husejni,Xhahit Husejni,Xhahit Husejni
Џеват Шахсивари,Xhevat Shahsivari,Xhevat Shahsivari,Xhevat Shahsivari
Џевдет Ќазими,Xhevdet Qazimi,Xhevdet Qazimi,Xhevdet Qazimi
Џевдет Идризи,Xhevdet Idrizi,Xhevdet Idrizi,Xhevdet Idrizi
Џевдет Ракипи,Xhevdet Rakipi,Xhevdet Rakipi,Xhevdet Rakipi
Џевдет Рустеми,Xhevdet Rustemi,Xhevdet Rustemi,Xhevdet Rustemi
Џезаир Авдули,Xhezair Avduli,Xhezair Avduli,Xhezair Avduli
Џелал Јашар,Xhelal Jashar,Xhelal Jashar,Xhelal Jashar
Џелил Абдула,Xhelil Abdula,Xhelil Abdula,Xhelil Abdula
Џем Ахмед,Cem Ahmed,Cem Ahmed,Cem Ahmed
Џем Шатку,Xhem Shatku,Xhem Shatku,Xhem Shatku
Џемаил Џемаили,Xhemail Xhemaili,Xhemail Xhemaili,Xhemail Xhemaili
Џемаил Есати,Xhemail Esati,Xhemail Esati,Xhemail Esati
Џемаил Исмаили,Xhemail Ismaili,Xhemail Ismaili,Xhemail Ismaili
Џемал Алили,Xhemal Alili,Xhemal Alili,Xhemal Alili
Џемал Амети,Xhemal Ameti,Xhemal Ameti,Xhemal Ameti
Џемал Исмаили,Xhemal Ismaili,Xhemal Ismaili,Xhemal Ismaili
Џемал Сулејмани,Xhemal Sulejmani,Xhemal Sulejmani,Xhemal Sulejmani
Џемајљ Аземи,Xhemajl Azemi,Xhemajl Azemi,Xhemajl Azemi
Џемајљ Бајрамовиќ,Džemajl Bajramović,Džemajl Bajramović,Džemajl Bajramović
Џемаљ Етеми,Xhemal Etemi,Xhemal Etemi,Xhemal Etemi
Џемил Амити,Xhemil Amiti,Xhemil Amiti,Xhemil Amiti
Џемисал Рушити,Xhemisal Rushiti,Xhemisal Rushiti,Xhemisal Rushiti
Џемиљ Јахији,Xhemil Jahiji,Xhemil Jahiji,Xhemil Jahiji
Џенан Идризовиќ,Dženan Idrizović,Dženan Idrizović,Dženan Idrizović
Џенан Хајдари,Dženan Hajdari,Dženan Hajdari,Dženan Hajdari
Џенгис Дико,Xhengis Diko,Xhengis Diko,Xhengis Diko
Џенис Јакупи,Xhenis Jakupi,Xhenis Jakupi,Xhenis Jakupi
Џенис Мухареми,Xhenis Muharemi,Xhenis Muharemi,Xhenis Muharemi
Џенис Томбул,Dženis Tombul,Dženis Tombul,Dženis Tombul
Џенита Кицара,Dženita Kicara,Dženita Kicara,Dženita Kicara
Џенур Адиљи,Xhenur Adili,Xhenur Adili,Xhenur Adili
Џесур Имери,Xhesur Imeri,Xhesur Imeri,Xhesur Imeri
Џефри Ли Етан,Džefri Li Etan,Džefri Li Etan,Džefri Li Etan
Џељиљ Асани,Xhelil Asani,Xhelil Asani,Xhelil Asani
Џини Арбен,Xhini Arben,Xhini Arben,Xhini Arben
Џихад Јашари,Xhihad Jashari,Xhihad Jashari,Xhihad Jashari
Џихад Аљиљи,Xhihad Alili,Xhihad Alili,Xhihad Alili
Џихан Адили,Xhihan Adili,Xhihan Adili,Xhihan Adili
Џихан Ибраими,Xhihan Ibraimi,Xhihan Ibraimi,Xhihan Ibraimi
Џихат Даљипи,Xhihat Dalipi,Xhihat Dalipi,Xhihat Dalipi
Џунејд Адеми,Xhunejd Ademi,Xhunejd Ademi,Xhunejd Ademi
Шабан Ибраими,Shaban Ibraimi,Shaban Ibraimi,Shaban Ibraimi
Шабан Мемети,Shaban Memeti,Shaban Memeti,Shaban Memeti
Шабан Насуфи,Shaban Nasufi,Shaban Nasufi,Shaban Nasufi
Шабан Садики,Shaban Sadiki,Shaban Sadiki,Shaban Sadiki
Шабан Селман,Shaban Selman,Shaban Selman,Shaban Selman
Шабан Сулиман,Shaban Suliman,Shaban Suliman,Shaban Suliman
Шабан Чупи,Shaban Çupi,Shaban Çupi,Shaban Çupi
Шабан Шабани,Shaban Shabani,Shaban Shabani,Shaban Shabani
Шаип Илази,Shaip Ilazi,Shaip Ilazi,Shaip Ilazi
Шахин Амит,Shahin Amit,Shahin Amit,Shahin Amit
Шаќир Мемеди,Shaqir Memedi,Shaqir Memedi,Shaqir Memedi
Шевал Исени,Sheval Iseni,Sheval Iseni,Sheval Iseni
Шевал Халили,Sheval Halili,Sheval Halili,Sheval Halili
Шеваљ Незири,Sheval Neziri,Sheval Neziri,Sheval Neziri
Шелден Крантхове Јустен,Shelden Kranthove Justen,Shelden Kranthove Justen,Shelden Kranthove Justen
Шемси Мурати,Shemsi Murati,Shemsi Murati,Shemsi Murati
Шемси Незири,Shemsi Neziri,Shemsi Neziri,Shemsi Neziri
Шендрит Адеми,Shendrit Ademi,Shendrit Ademi,Shendrit Ademi
Шендрит Заими,Shendrit Zaimi,Shendrit Zaimi,Shendrit Zaimi
Шенол Меди,Shenol Medi,Shenol Medi,Shenol Medi
